id,name,price,category,image,rating,description
220,安踏羽毛球拍,1160.91,sports,https://picsum.photos/seed/220/400/300,4.7,【产品特色】安踏羽毛球拍，高弹性拍框，适合初学者…
221,乐事酸酸乳,83.15,food,https://picsum.photos/seed/221/400/300,4.6,【产品特色】乐事酸酸乳，香辣入味，休闲解馋小零食…
222,伊利酸菜面,70.92,food,https://picsum.photos/seed/222/400/300,4.9,【产品特色】伊利酸菜面，大颗粒入味，口感酥脆不脏手…
223,哥伦比亚睡袋,1162.44,sports,https://picsum.photos/seed/223/400/300,4.3,【产品特色】哥伦比亚睡袋，6mm加厚，减震隔音不硌身…
224,康师傅牛奶,78.7,food,https://picsum.photos/seed/224/400/300,4.4,【产品特色】康师傅牛奶，巧克力夹心，扭一扭泡一泡…
225,格力电饭煲,678.41,home,https://picsum.photos/seed/225/400/300,4.9,【产品特色】格力电饭煲，激光导航，自动回充洗拖布…
226,海尔冰箱,2431.49,home,https://picsum.photos/seed/226/400/300,4.5,【产品特色】海尔冰箱，静音节能不占地，冷藏保鲜…
227,北面羽毛球,1010.58,sports,https://picsum.photos/seed/227/400/300,4.1,【产品特色】北面羽毛球，冰感速干，透气排汗适合健身…
228,兰蔻粉底液,1689.92,cosmetics,https://picsum.photos/seed/228/400/300,4.5,【产品特色】兰蔻粉底液，舒缓敏感肌，补水定妆双用…
229,雅诗兰黛面霜,1576.57,cosmetics,https://picsum.photos/seed/229/400/300,4.7,【产品特色】雅诗兰黛面霜，定妆控油，细腻不卡粉…
230,旺仔瓜子,50.81,food,https://picsum.photos/seed/230/400/300,4.4,【产品特色】旺仔瓜子，大颗粒入味，口感酥脆不脏手…
231,科颜氏喷雾,1219.3,cosmetics,https://picsum.photos/seed/231/400/300,4.3,【产品特色】科颜氏喷雾，自然服帖，遮瑕持妆…
232,耐克运动鞋,565.79,sports,https://picsum.photos/seed/232/400/300,4.3,【产品特色】耐克运动鞋，冰感速干，透气排汗适合健身…
233,三只松鼠薯片,31.82,food,https://picsum.photos/seed/233/400/300,4.3,【产品特色】三只松鼠薯片，草莓味酸甜可口，饭后解腻…
234,纪梵希精华液,355.69,cosmetics,https://picsum.photos/seed/234/400/300,4.9,【产品特色】纪梵希精华液，提亮修护，深入肌底促吸收…
235,乐事瓜子,34.02,food,https://picsum.photos/seed/235/400/300,4.4,【产品特色】乐事瓜子，香甜浓郁，含乳量高，童年经典口味…
236,伊利薯片,34.55,food,https://picsum.photos/seed/236/400/300,4.1,【产品特色】伊利薯片，大块牛肉粒，汤汁浓郁方便速食…
237,红牛瓜子,5.74,food,https://picsum.photos/seed/237/400/300,4.9,【产品特色】红牛瓜子，颗粒饱满，每日坚果补充营养…
238,李宁运动T恤,632.8,sports,https://picsum.photos/seed/238/400/300,4,【产品特色】李宁运动T恤，6mm加厚，减震隔音不硌身…
239,统一酸酸乳,82.01,food,https://picsum.photos/seed/239/400/300,4.7,【产品特色】统一酸酸乳，草莓味酸甜可口，饭后解腻…
240,SK-II粉底液,1534.79,cosmetics,https://picsum.photos/seed/240/400/300,4.7,【产品特色】SK-II粉底液，显白不挑皮，持久显色…
241,北面羽毛球,1547.92,sports,https://picsum.photos/seed/241/400/300,4.1,【产品特色】北面羽毛球，6mm加厚，减震隔音不硌身…
242,探路者羽毛球,450.29,sports,https://picsum.photos/seed/242/400/300,4.8,【产品特色】探路者羽毛球，耐打稳定，适合日常训练…
243,海蓝之谜乳液,648.04,cosmetics,https://picsum.photos/seed/243/400/300,4.1,【产品特色】海蓝之谜乳液，自然服帖，遮瑕持妆…
244,匡威运动T恤,1129.24,sports,https://picsum.photos/seed/244/400/300,4.6,【产品特色】匡威运动T恤，冰感速干，透气排汗适合健身…
245,奥利奥酸菜面,30.48,food,https://picsum.photos/seed/245/400/300,4.5,【产品特色】奥利奥酸菜面，草莓味酸甜可口，饭后解腻…
246,美的落地扇,122.85,home,https://picsum.photos/seed/246/400/300,4,【产品特色】美的落地扇，快速加热，解冻杀菌多功能一体…
247,北面运动鞋,658.81,sports,https://picsum.photos/seed/247/400/300,4.2,【产品特色】北面运动鞋，6mm加厚，减震隔音不硌身…
248,飞利浦电烤箱,2189.38,home,https://picsum.photos/seed/248/400/300,4.8,【产品特色】飞利浦电烤箱，高压快煮，煲汤炖肉不费时…
249,哥伦比亚瑜伽垫,792.81,sports,https://picsum.photos/seed/249/400/300,4.5,【产品特色】哥伦比亚瑜伽垫，宽松速干，适合篮球健身训练…
250,匡威羽毛球拍,1735.81,sports,https://picsum.photos/seed/250/400/300,4.2,【产品特色】匡威羽毛球拍，宽松速干，适合篮球健身训练…
251,海尔电烤箱,587.96,home,https://picsum.photos/seed/251/400/300,4.4,【产品特色】海尔电烤箱，高压快煮，煲汤炖肉不费时…
252,乐事矿泉水,30.98,food,https://picsum.photos/seed/252/400/300,4.7,【产品特色】乐事矿泉水，酸爽开胃，泡面搭档火腿肠…
253,资生堂爽肤水,1535.88,cosmetics,https://picsum.photos/seed/253/400/300,4.8,【产品特色】资生堂爽肤水，紧致淡纹，保湿锁水适合熟龄肌…
254,九阳电热水壶,495.21,home,https://picsum.photos/seed/254/400/300,4.5,【产品特色】九阳电热水壶，除甲醛雾霾，智能联网控制…
255,乐事坚果礼包,27.2,food,https://picsum.photos/seed/255/400/300,4.2,【产品特色】乐事坚果礼包，松软香甜，早餐点心下午茶…
256,科颜氏粉底液,1999.93,cosmetics,https://picsum.photos/seed/256/400/300,4.7,【产品特色】科颜氏粉底液，修饰黄皮，提亮肤色隐形毛孔…
257,格力扫地机器人,2002.39,home,https://picsum.photos/seed/257/400/300,4.7,【产品特色】格力扫地机器人，上下独立控温，烘焙蛋糕披萨…
258,海蓝之谜隔离霜,986.41,cosmetics,https://picsum.photos/seed/258/400/300,4.3,【产品特色】海蓝之谜隔离霜，紧致淡纹，保湿锁水适合熟龄肌…
259,伊利矿泉水,22.31,food,https://picsum.photos/seed/259/400/300,4.6,【产品特色】伊利矿泉水，提神抗疲劳，加班运动必备…
260,小米空调,188.74,home,https://picsum.photos/seed/260/400/300,4.7,【产品特色】小米空调，除菌除螨，静音变频节能…
261,海尔破壁机,947.03,home,https://picsum.photos/seed/261/400/300,4.9,【产品特色】海尔破壁机，上下独立控温，烘焙蛋糕披萨…
262,小米冰箱,2356.37,home,https://picsum.photos/seed/262/400/300,4,【产品特色】小米冰箱，上下独立控温，烘焙蛋糕披萨…
263,海尔空气净化器,1553.49,home,https://picsum.photos/seed/263/400/300,4.8,【产品特色】海尔空气净化器，一级能效，静音制冷制热快…
264,耐克羽毛球拍,1986.05,sports,https://picsum.photos/seed/264/400/300,4.8,【产品特色】耐克羽毛球拍，抗菌吸汗，缓冲减震保护脚部…
265,徐福记功能饮料,74.96,food,https://picsum.photos/seed/265/400/300,4.5,【产品特色】徐福记功能饮料，薄脆鲜香，追剧必备零食…
266,松下空调,2678.48,home,https://picsum.photos/seed/266/400/300,4.3,【产品特色】松下空调，除甲醛雾霾，智能联网控制…
267,兰蔻隔离霜,1224.54,cosmetics,https://picsum.photos/seed/267/400/300,4.7,【产品特色】兰蔻隔离霜，提亮修护，深入肌底促吸收…
268,农夫山泉矿泉水,79.3,food,https://picsum.photos/seed/268/400/300,4.3,【产品特色】农夫山泉矿泉水，提神抗疲劳，加班运动必备…
269,匡威瑜伽垫,1272.33,sports,https://picsum.photos/seed/269/400/300,4,【产品特色】匡威瑜伽垫，冰感速干，透气排汗适合健身…
270,北面运动短裤,443.73,sports,https://picsum.photos/seed/270/400/300,4.5,【产品特色】北面运动短裤，耐打稳定，适合日常训练…
271,雅漾散粉,1912.25,cosmetics,https://picsum.photos/seed/271/400/300,4.2,【产品特色】雅漾散粉，提亮修护，深入肌底促吸收…
272,倩碧口红,463.41,cosmetics,https://picsum.photos/seed/272/400/300,4.5,【产品特色】倩碧口红，舒缓补水，调节肌肤水油平衡…
273,飞利浦破壁机,1521.33,home,https://picsum.photos/seed/273/400/300,4.2,【产品特色】飞利浦破壁机，柴火饭模式，智能预约保温…
274,徐福记坚果礼包,49.96,food,https://picsum.photos/seed/274/400/300,4.7,【产品特色】徐福记坚果礼包，大颗粒入味，口感酥脆不脏手…
275,兰蔻眼霜,831.44,cosmetics,https://picsum.photos/seed/275/400/300,4.5,【产品特色】兰蔻眼霜，提亮修护，深入肌底促吸收…
276,小米空调,1356.82,home,https://picsum.photos/seed/276/400/300,4.6,【产品特色】小米空调，除菌除螨，静音变频节能…
277,统一酸酸乳,81.45,food,https://picsum.photos/seed/277/400/300,4.7,【产品特色】统一酸酸乳，香辣入味，休闲解馋小零食…
278,三只松鼠酸菜面,79.62,food,https://picsum.photos/seed/278/400/300,4.3,【产品特色】三只松鼠酸菜面，颗粒饱满，每日坚果补充营养…
279,雅诗兰黛隔离霜,1601.05,cosmetics,https://picsum.photos/seed/279/400/300,4.1,【产品特色】雅诗兰黛隔离霜，提亮修护，深入肌底促吸收…
280,资生堂精华液,367.4,cosmetics,https://picsum.photos/seed/280/400/300,4.6,【产品特色】资生堂精华液，淡化黑眼圈，紧致眼周肌肤…
281,统一矿泉水,74.14,food,https://picsum.photos/seed/281/400/300,4.7,【产品特色】统一矿泉水，大颗粒入味，口感酥脆不脏手…
282,香奈儿眼霜,1416.1,cosmetics,https://picsum.photos/seed/282/400/300,4.3,【产品特色】香奈儿眼霜，定妆控油，细腻不卡粉…
283,苏泊尔洗衣机,1343.74,home,https://picsum.photos/seed/283/400/300,4.2,【产品特色】苏泊尔洗衣机，多档风速，定时摇头送风广…
284,匡威羽毛球,1215.63,sports,https://picsum.photos/seed/284/400/300,4.6,【产品特色】匡威羽毛球，6mm加厚，减震隔音不硌身…
285,安踏瑜伽垫,229.94,sports,https://picsum.photos/seed/285/400/300,4.5,【产品特色】安踏瑜伽垫，宽松速干，适合篮球健身训练…
286,李宁羽毛球拍,1466.94,sports,https://picsum.photos/seed/286/400/300,4.6,【产品特色】李宁羽毛球拍，6mm加厚，减震隔音不硌身…
287,安踏睡袋,1296.49,sports,https://picsum.photos/seed/287/400/300,4.1,【产品特色】安踏睡袋，高弹性拍框，适合初学者…
288,小米洗衣机,629.92,home,https://picsum.photos/seed/288/400/300,4.7,【产品特色】小米洗衣机，上下独立控温，烘焙蛋糕披萨…
289,耐克登山背包,1327.6,sports,https://picsum.photos/seed/289/400/300,4.5,【产品特色】耐克登山背包，冰感速干，透气排汗适合健身…
290,小米电饭煲,898.76,home,https://picsum.photos/seed/290/400/300,4.5,【产品特色】小米电饭煲，激光导航，自动回充洗拖布…
291,美的落地扇,1962.2,home,https://picsum.photos/seed/291/400/300,4.5,【产品特色】美的落地扇，一级能效，静音制冷制热快…
292,红牛矿泉水,41.98,food,https://picsum.photos/seed/292/400/300,4.7,【产品特色】红牛矿泉水，弱碱性天然水，家庭办公饮用水…
293,红牛酸菜面,97.19,food,https://picsum.photos/seed/293/400/300,4.2,【产品特色】红牛酸菜面，薄脆鲜香，追剧必备零食…
294,红牛功能饮料,32.39,food,https://picsum.photos/seed/294/400/300,4.8,【产品特色】红牛功能饮料，薄脆鲜香，追剧必备零食…
295,雅诗兰黛眼霜,1400.01,cosmetics,https://picsum.photos/seed/295/400/300,4.9,【产品特色】雅诗兰黛眼霜，自然服帖，遮瑕持妆…
296,海尔洗衣机,480.27,home,https://picsum.photos/seed/296/400/300,4.5,【产品特色】海尔洗衣机，静音节能不占地，冷藏保鲜…
297,兰蔻粉底液,732.06,cosmetics,https://picsum.photos/seed/297/400/300,4.7,【产品特色】兰蔻粉底液，修饰黄皮，提亮肤色隐形毛孔…
298,海蓝之谜散粉,1379.8,cosmetics,https://picsum.photos/seed/298/400/300,4.3,【产品特色】海蓝之谜散粉，修饰黄皮，提亮肤色隐形毛孔…
299,乐事酸酸乳,74.67,food,https://picsum.photos/seed/299/400/300,4.3,【产品特色】乐事酸酸乳，酸爽开胃，泡面搭档火腿肠…
300,飞利浦扫地机器人,662.06,home,https://picsum.photos/seed/300/400/300,4,【产品特色】飞利浦扫地机器人，柴火饭模式，智能预约保温…
301,哥伦比亚羽毛球,501.22,sports,https://picsum.photos/seed/301/400/300,4.4,【产品特色】哥伦比亚羽毛球，6mm加厚，减震隔音不硌身…
302,兰芝精华液,318.69,cosmetics,https://picsum.photos/seed/302/400/300,4.5,【产品特色】兰芝精华液，舒缓敏感肌，补水定妆双用…
303,洽洽瓜子,24.27,food,https://picsum.photos/seed/303/400/300,4.4,【产品特色】洽洽瓜子，薄脆鲜香，追剧必备零食…
304,彪马运动鞋,1117.34,sports,https://picsum.photos/seed/304/400/300,4.2,【产品特色】彪马运动鞋，6mm加厚，减震隔音不硌身…
305,洽洽坚果礼包,59.26,food,https://picsum.photos/seed/305/400/300,4.6,【产品特色】洽洽坚果礼包，大块牛肉粒，汤汁浓郁方便速食…
306,兰芝粉底液,165.24,cosmetics,https://picsum.photos/seed/306/400/300,4,【产品特色】兰芝粉底液，定妆控油，细腻不卡粉…
307,飞利浦冰箱,1617.26,home,https://picsum.photos/seed/307/400/300,4.7,【产品特色】飞利浦冰箱，快速烧开水，自动断电防干烧…
308,苏泊尔微波炉,735.16,home,https://picsum.photos/seed/308/400/300,4.7,【产品特色】苏泊尔微波炉，细腻研磨豆浆/米糊，低音不扰眠…
309,老板落地扇,2249.84,home,https://picsum.photos/seed/309/400/300,4.5,【产品特色】老板落地扇，上下独立控温，烘焙蛋糕披萨…
310,科颜氏乳液,1987.05,cosmetics,https://picsum.photos/seed/310/400/300,4.6,【产品特色】科颜氏乳液，舒缓敏感肌，补水定妆双用…
311,九阳电压力锅,2140.5,home,https://picsum.photos/seed/311/400/300,4.4,【产品特色】九阳电压力锅，快速加热，解冻杀菌多功能一体…
312,匡威运动T恤,1298.16,sports,https://picsum.photos/seed/312/400/300,4.9,【产品特色】匡威运动T恤，-10℃保暖，轻便易收纳…
313,苏泊尔扫地机器人,1729.68,home,https://picsum.photos/seed/313/400/300,4.9,【产品特色】苏泊尔扫地机器人，除菌除螨，静音变频节能…
314,海蓝之谜爽肤水,1915.71,cosmetics,https://picsum.photos/seed/314/400/300,4.3,【产品特色】海蓝之谜爽肤水，淡化黑眼圈，紧致眼周肌肤…
315,纪梵希散粉,739.55,cosmetics,https://picsum.photos/seed/315/400/300,4.2,【产品特色】纪梵希散粉，修饰黄皮，提亮肤色隐形毛孔…
316,彪马运动T恤,759.49,sports,https://picsum.photos/seed/316/400/300,4,【产品特色】彪马运动T恤，大容量分层，背负系统减负…
317,九阳电热水壶,2724.47,home,https://picsum.photos/seed/317/400/300,4.7,【产品特色】九阳电热水壶，上下独立控温，烘焙蛋糕披萨…
318,方太落地扇,2074.29,home,https://picsum.photos/seed/318/400/300,4.3,【产品特色】方太落地扇，快速烧开水，自动断电防干烧…
319,飞利浦冰箱,1749.53,home,https://picsum.photos/seed/319/400/300,4.7,【产品特色】飞利浦冰箱，除甲醛雾霾，智能联网控制…
320,彪马运动短裤,284.33,sports,https://picsum.photos/seed/320/400/300,4.2,【产品特色】彪马运动短裤，高弹性拍框，适合初学者…
321,雅诗兰黛口红,889.74,cosmetics,https://picsum.photos/seed/321/400/300,4.5,【产品特色】雅诗兰黛口红，修饰黄皮，提亮肤色隐形毛孔…
322,安踏运动袜,1112.3,sports,https://picsum.photos/seed/322/400/300,4.8,【产品特色】安踏运动袜，抗菌吸汗，缓冲减震保护脚部…
323,农夫山泉牛肉面,48.84,food,https://picsum.photos/seed/323/400/300,4.6,【产品特色】农夫山泉牛肉面，香甜浓郁，含乳量高，童年经典口味…
324,香奈儿口红,714.48,cosmetics,https://picsum.photos/seed/324/400/300,4.5,【产品特色】香奈儿口红，提亮修护，深入肌底促吸收…
325,资生堂乳液,1909.49,cosmetics,https://picsum.photos/seed/325/400/300,4.3,【产品特色】资生堂乳液，舒缓补水，调节肌肤水油平衡…
326,方太空调,2198.11,home,https://picsum.photos/seed/326/400/300,4.2,【产品特色】方太空调，静音节能不占地，冷藏保鲜…
327,海蓝之谜精华液,230.92,cosmetics,https://picsum.photos/seed/327/400/300,4.2,【产品特色】海蓝之谜精华液，舒缓敏感肌，补水定妆双用…
328,匡威瑜伽垫,357.38,sports,https://picsum.photos/seed/328/400/300,4.2,【产品特色】匡威瑜伽垫，抗菌吸汗，缓冲减震保护脚部…
329,SK-II乳液,630.32,cosmetics,https://picsum.photos/seed/329/400/300,4.1,【产品特色】SK-II乳液，舒缓敏感肌，补水定妆双用…
330,老板电饭煲,1529.51,home,https://picsum.photos/seed/330/400/300,4.6,【产品特色】老板电饭煲，静音节能不占地，冷藏保鲜…
331,兰芝口红,1050.13,cosmetics,https://picsum.photos/seed/331/400/300,4.5,【产品特色】兰芝口红，舒缓敏感肌，补水定妆双用…
332,统一辣条,24.31,food,https://picsum.photos/seed/332/400/300,4.9,【产品特色】统一辣条，香甜浓郁，含乳量高，童年经典口味…
333,九阳电饭煲,1784.83,home,https://picsum.photos/seed/333/400/300,4.3,【产品特色】九阳电饭煲，除菌除螨，静音变频节能…
334,北面羽毛球,1713.75,sports,https://picsum.photos/seed/334/400/300,4.6,【产品特色】北面羽毛球，宽松速干，适合篮球健身训练…
335,香奈儿精华液,1736.26,cosmetics,https://picsum.photos/seed/335/400/300,4.6,【产品特色】香奈儿精华液，定妆控油，细腻不卡粉…
336,匡威运动短裤,1854.24,sports,https://picsum.photos/seed/336/400/300,4.8,【产品特色】匡威运动短裤，抗菌吸汗，缓冲减震保护脚部…
337,李宁运动袜,694.24,sports,https://picsum.photos/seed/337/400/300,4.6,【产品特色】李宁运动袜，宽松速干，适合篮球健身训练…
338,李宁冲锋裤,872.55,sports,https://picsum.photos/seed/338/400/300,4.4,【产品特色】李宁冲锋裤，6mm加厚，减震隔音不硌身…
339,红牛矿泉水,51,food,https://picsum.photos/seed/339/400/300,4.4,【产品特色】红牛矿泉水，弱碱性天然水，家庭办公饮用水…
340,彪马羽毛球拍,1772.64,sports,https://picsum.photos/seed/340/400/300,4.2,【产品特色】彪马羽毛球拍，大容量分层，背负系统减负…
341,小米电热水壶,2005.32,home,https://picsum.photos/seed/341/400/300,4.6,【产品特色】小米电热水壶，细腻研磨豆浆/米糊，低音不扰眠…
342,彪马登山背包,683.55,sports,https://picsum.photos/seed/342/400/300,4.9,【产品特色】彪马登山背包，-10℃保暖，轻便易收纳…
343,小米扫地机器人,2628.79,home,https://picsum.photos/seed/343/400/300,4.3,【产品特色】小米扫地机器人，柴火饭模式，智能预约保温…
344,探路者运动短裤,791.63,sports,https://picsum.photos/seed/344/400/300,4.4,【产品特色】探路者运动短裤，防水防风，适合登山露营…
345,哥伦比亚瑜伽垫,1539.53,sports,https://picsum.photos/seed/345/400/300,4,【产品特色】哥伦比亚瑜伽垫，防水防风，适合登山露营…
346,飞利浦破壁机,254.51,home,https://picsum.photos/seed/346/400/300,4.7,【产品特色】飞利浦破壁机，快速加热，解冻杀菌多功能一体…
347,纪梵希面霜,301.32,cosmetics,https://picsum.photos/seed/347/400/300,4.5,【产品特色】纪梵希面霜，自然服帖，遮瑕持妆…
348,美的电烤箱,1736.44,home,https://picsum.photos/seed/348/400/300,4.9,【产品特色】美的电烤箱，快速加热，解冻杀菌多功能一体…
349,彪马睡袋,781.46,sports,https://picsum.photos/seed/349/400/300,4.3,【产品特色】彪马睡袋，高弹性拍框，适合初学者…
350,洽洽坚果礼包,66.78,food,https://picsum.photos/seed/350/400/300,4.8,【产品特色】洽洽坚果礼包，大颗粒入味，口感酥脆不脏手…
351,安踏羽毛球,927.15,sports,https://picsum.photos/seed/351/400/300,4.2,【产品特色】安踏羽毛球，高弹性拍框，适合初学者…
352,探路者运动短裤,831.97,sports,https://picsum.photos/seed/352/400/300,4.6,【产品特色】探路者运动短裤，宽松速干，适合篮球健身训练…
353,乐事功能饮料,18.53,food,https://picsum.photos/seed/353/400/300,4.3,【产品特色】乐事功能饮料，香甜浓郁，含乳量高，童年经典口味…
354,倩碧口红,686.45,cosmetics,https://picsum.photos/seed/354/400/300,4.7,【产品特色】倩碧口红，提亮修护，深入肌底促吸收…
355,小米微波炉,265.07,home,https://picsum.photos/seed/355/400/300,4.4,【产品特色】小米微波炉，除菌除螨，静音变频节能…
356,阿迪达斯运动鞋,417.13,sports,https://picsum.photos/seed/356/400/300,4.8,【产品特色】阿迪达斯运动鞋，缓震透气，适合长跑与日常通勤…
357,探路者羽毛球拍,769.68,sports,https://picsum.photos/seed/357/400/300,4,【产品特色】探路者羽毛球拍，抗菌吸汗，缓冲减震保护脚部…
358,奥利奥功能饮料,75.11,food,https://picsum.photos/seed/358/400/300,4.9,【产品特色】奥利奥功能饮料，酸爽开胃，泡面搭档火腿肠…
359,迪卡侬睡袋,1783.75,sports,https://picsum.photos/seed/359/400/300,4.4,【产品特色】迪卡侬睡袋，防水防风，适合登山露营…
360,纪梵希散粉,1748.29,cosmetics,https://picsum.photos/seed/360/400/300,4.6,【产品特色】纪梵希散粉，舒缓补水，调节肌肤水油平衡…
361,耐克运动短裤,773.72,sports,https://picsum.photos/seed/361/400/300,4.9,【产品特色】耐克运动短裤，耐打稳定，适合日常训练…
362,格力电热水壶,1227.3,home,https://picsum.photos/seed/362/400/300,4.2,【产品特色】格力电热水壶，上下独立控温，烘焙蛋糕披萨…
363,香奈儿精华液,1713.8,cosmetics,https://picsum.photos/seed/363/400/300,4.3,【产品特色】香奈儿精华液，舒缓敏感肌，补水定妆双用…
364,农夫山泉瓜子,14.16,food,https://picsum.photos/seed/364/400/300,4.1,【产品特色】农夫山泉瓜子，香甜浓郁，含乳量高，童年经典口味…
365,徐福记矿泉水,37.64,food,https://picsum.photos/seed/365/400/300,4.1,【产品特色】徐福记矿泉水，弱碱性天然水，家庭办公饮用水…
366,倩碧粉底液,911.56,cosmetics,https://picsum.photos/seed/366/400/300,4.3,【产品特色】倩碧粉底液，提亮修护，深入肌底促吸收…
367,彪马瑜伽垫,1697.36,sports,https://picsum.photos/seed/367/400/300,4.6,【产品特色】彪马瑜伽垫，大容量分层，背负系统减负…
368,美的破壁机,1697.16,home,https://picsum.photos/seed/368/400/300,4.5,【产品特色】美的破壁机，高压快煮，煲汤炖肉不费时…
369,雅漾乳液,1581.91,cosmetics,https://picsum.photos/seed/369/400/300,4.3,【产品特色】雅漾乳液，提亮修护，深入肌底促吸收…
370,资生堂隔离霜,913.35,cosmetics,https://picsum.photos/seed/370/400/300,4.5,【产品特色】资生堂隔离霜，紧致淡纹，保湿锁水适合熟龄肌…
371,雅漾面霜,799.98,cosmetics,https://picsum.photos/seed/371/400/300,4.4,【产品特色】雅漾面霜，淡化黑眼圈，紧致眼周肌肤…
372,农夫山泉薯片,19.13,food,https://picsum.photos/seed/372/400/300,4.3,【产品特色】农夫山泉薯片，香甜浓郁，含乳量高，童年经典口味…
373,探路者运动鞋,511.95,sports,https://picsum.photos/seed/373/400/300,4.5,【产品特色】探路者运动鞋，6mm加厚，减震隔音不硌身…
374,迪卡侬睡袋,1994.9,sports,https://picsum.photos/seed/374/400/300,4.6,【产品特色】迪卡侬睡袋，-10℃保暖，轻便易收纳…
375,老板落地扇,1249.31,home,https://picsum.photos/seed/375/400/300,4.2,【产品特色】老板落地扇，快速加热，解冻杀菌多功能一体…
376,科颜氏隔离霜,1796.57,cosmetics,https://picsum.photos/seed/376/400/300,4.2,【产品特色】科颜氏隔离霜，显白不挑皮，持久显色…
377,农夫山泉薯片,71.68,food,https://picsum.photos/seed/377/400/300,4.7,【产品特色】农夫山泉薯片，草莓味酸甜可口，饭后解腻…
378,迪卡侬羽毛球,1800.51,sports,https://picsum.photos/seed/378/400/300,4.7,【产品特色】迪卡侬羽毛球，-10℃保暖，轻便易收纳…
379,彪马运动袜,1591.64,sports,https://picsum.photos/seed/379/400/300,4.7,【产品特色】彪马运动袜，防水防风，适合登山露营…
380,探路者运动T恤,231.27,sports,https://picsum.photos/seed/380/400/300,4.3,【产品特色】探路者运动T恤，大容量分层，背负系统减负…
381,兰蔻精华液,1384.13,cosmetics,https://picsum.photos/seed/381/400/300,4.3,【产品特色】兰蔻精华液，修饰黄皮，提亮肤色隐形毛孔…
382,格力落地扇,554.92,home,https://picsum.photos/seed/382/400/300,4.9,【产品特色】格力落地扇，细腻研磨豆浆/米糊，低音不扰眠…
383,雅诗兰黛爽肤水,1293.36,cosmetics,https://picsum.photos/seed/383/400/300,4.2,【产品特色】雅诗兰黛爽肤水，自然服帖，遮瑕持妆…
384,伊利酸酸乳,7.36,food,https://picsum.photos/seed/384/400/300,4.7,【产品特色】伊利酸酸乳，巧克力夹心，扭一扭泡一泡…
385,李宁运动T恤,1317.53,sports,https://picsum.photos/seed/385/400/300,4.6,【产品特色】李宁运动T恤，大容量分层，背负系统减负…
386,海尔落地扇,2911.99,home,https://picsum.photos/seed/386/400/300,4.8,【产品特色】海尔落地扇，激光导航，自动回充洗拖布…
387,彪马运动T恤,1975.08,sports,https://picsum.photos/seed/387/400/300,4.8,【产品特色】彪马运动T恤，大容量分层，背负系统减负…
388,香奈儿面霜,1905.86,cosmetics,https://picsum.photos/seed/388/400/300,4.6,【产品特色】香奈儿面霜，淡化黑眼圈，紧致眼周肌肤…
389,纪梵希眼霜,1346.45,cosmetics,https://picsum.photos/seed/389/400/300,4.9,【产品特色】纪梵希眼霜，舒缓敏感肌，补水定妆双用…
390,老板冰箱,2367.51,home,https://picsum.photos/seed/390/400/300,4.4,【产品特色】老板冰箱，上下独立控温，烘焙蛋糕披萨…
